timestep,site,spp,count
23,5,spp1,0
23,6,spp1,0
23,7,spp1,0
23,8,spp1,0
23,9,spp1,0
23,10,spp1,64
23,11,spp1,79
23,12,spp1,78
23,1,spp2,0
23,2,spp2,0
23,3,spp2,0
23,4,spp2,0
23,5,spp2,0
23,6,spp2,0
23,7,spp2,103
23,8,spp2,0
23,9,spp2,103
23,10,spp2,0
23,11,spp2,0
23,12,spp2,0
23,1,spp3,22
23,2,spp3,2
23,3,spp3,2
23,4,spp3,67
23,5,spp3,47
23,6,spp3,54
23,7,spp3,0
23,8,spp3,0
23,9,spp3,0
23,10,spp3,37
23,11,spp3,24
23,12,spp3,23
23,1,spp4,0
23,2,spp4,0
23,3,spp4,0
23,4,spp4,35
23,5,spp4,55
23,6,spp4,48
23,7,spp4,0
23,8,spp4,0
23,9,spp4,0
23,10,spp4,0
23,11,spp4,0
23,12,spp4,0
23,1,spp5,0
23,2,spp5,0
23,3,spp5,0
23,4,spp5,0
23,5,spp5,0
23,6,spp5,0
23,7,spp5,0
23,8,spp5,101
23,9,spp5,0
23,10,spp5,0
23,11,spp5,0
23,12,spp5,0
24,1,spp1,77
24,2,spp1,99
24,3,spp1,98
24,4,spp1,0
24,5,spp1,0
24,6,spp1,0
24,7,spp1,0
24,8,spp1,0
24,9,spp1,0
24,10,spp1,66
24,11,spp1,85
24,12,spp1,88
24,1,spp2,0
