timestep,site,spp,count
17,8,spp4,14
17,9,spp4,6
17,10,spp4,7
17,11,spp4,16
17,12,spp4,7
17,1,spp5,41
17,2,spp5,40
17,3,spp5,45
17,4,spp5,32
17,5,spp5,31
17,6,spp5,32
17,7,spp5,25
17,8,spp5,17
17,9,spp5,37
17,10,spp5,36
17,11,spp5,36
17,12,spp5,55
18,1,spp1,22
18,2,spp1,26
18,3,spp1,33
18,4,spp1,52
18,5,spp1,21
18,6,spp1,30
18,7,spp1,19
18,8,spp1,38
18,9,spp1,31
18,10,spp1,26
18,11,spp1,11
18,12,spp1,22
18,1,spp2,15
18,2,spp2,23
18,3,spp2,12
18,4,spp2,12
18,5,spp2,18
18,6,spp2,36
18,7,spp2,44
18,8,spp2,38
18,9,spp2,27
18,10,spp2,28
18,11,spp2,37
18,12,spp2,21
18,1,spp3,0
18,2,spp3,3
18,3,spp3,0
18,4,spp3,0
18,5,spp3,3
18,6,spp3,0
18,7,spp3,1
18,8,spp3,0
18,9,spp3,0
18,10,spp3,9
18,11,spp3,0
18,12,spp3,2
18,1,spp4,13
18,2,spp4,5
18,3,spp4,13
18,4,spp4,5
18,5,spp4,22
18,6,spp4,9
18,7,spp4,5
18,8,spp4,9
18,9,spp4,5
18,10,spp4,6
18,11,spp4,17
18,12,spp4,8
18,1,spp5,51
18,2,spp5,46
18,3,spp5,43
18,4,spp5,33
18,5,spp5,38
18,6,spp5,27
18,7,spp5,33
18,8,spp5,17
18,9,spp5,39
18,10,spp5,34
18,11,spp5,36
18,12,spp5,50
19,1,spp1,18
19,2,spp1,27
19,3,spp1,29
19,4,spp1,45
19,5,spp1,24
19,6,spp1,24
19,7,spp1,20
19,8,spp1,37
19,9,spp1,31
19,10,spp1,28
19,11,spp1,14
19,12,spp1,21
19,1,spp2,22
19,2,spp2,21
19,3,spp2,20
19,4,spp2,21
19,5,spp2,19
19,6,spp2,38
19,7,spp2,47
19,8,spp2,35
19,9,spp2,29
19,10,spp2,25
19,11,spp2,30
19,12,spp2,27
19,1,spp3,0
19,2,spp3,2
19,3,spp3,0
19,4,spp3,0
19,5,spp3,2
19,6,spp3,0
19,7,spp3,1
19,8,spp3,0
19,9,spp3,1
19,10,spp3,11
19,11,spp3,0
19,12,spp3,2
19,1,spp4,13
19,2,spp4,6
19,3,spp4,16
19,4,spp4,4
19,5,spp4,22
19,6,spp4,6
19,7,spp4,5
19,8,spp4,11
19,9,spp4,6
19,10,spp4,7
19,11,spp4,15
19,12,spp4,8
19,1,spp5,48
19,2,spp5,47
19,3,spp5,36
19,4,spp5,32
19,5,spp5,35
19,6,spp5,34
19,7,spp5,29
19,8,spp5,19
19,9,spp5,35
19,10,spp5,32
19,11,spp5,42
19,12,spp5,45
20,1,spp1,20
20,2,spp1,21
20,3,spp1,25
20,4,spp1,38
20,5,spp1,23
20,6,spp1,27
20,7,spp1,35
20,8,spp1,30
20,9,spp1,23
20,10,spp1,21
20,11,spp1,17
20,12,spp1,21
20,1,spp2,21
20,2,spp2,31
20,3,spp2,22
20,4,spp2,33
20,5,spp2,21
20,6,spp2,34
20,7,spp2,36
20,8,spp2,38
20,9,spp2,34
20,10,spp2,24
20,11,spp2,35
20,12,spp2,26
20,1,spp3,0
20,2,spp3,0
20,3,spp3,1
20,4,spp3,0
20,5,spp3,1
20,6,spp3,0
20,7,spp3,2
20,8,spp3,0
20,9,spp3,1
20,10,spp3,14
20,11,spp3,1
20,12,spp3,3
20,1,spp4,16
20,2,spp4,2
20,3,spp4,15
20,4,spp4,1
20,5,spp4,24
20,6,spp4,5
20,7,spp4,5
20,8,spp4,13
20,9,spp4,8
20,10,spp4,9
20,11,spp4,18
20,12,spp4,7
20,1,spp5,44
20,2,spp5,49
20,3,spp5,38
20,4,spp5,30
20,5,spp5,33
20,6,spp5,36
20,7,spp5,24
20,8,spp5,21
20,9,spp5,36
20,10,spp5,35
20,11,spp5,30
20,12,spp5,46
21,1,spp1,19
21,2,spp1,16
21,3,spp1,23
21,4,spp1,38
21,5,spp1,20
21,6,spp1,30
21,7,spp1,41
21,8,spp1,32
21,9,spp1,22
21,10,spp1,21
21,11,spp1,11
21,12,spp1,22
21,1,spp2,15
21,2,spp2,33
21,3,spp2,19
21,4,spp2,32
21,5,spp2,27
21,6,spp2,31
21,7,spp2,28
21,8,spp2,30
21,9,spp2,26
21,10,spp2,29
21,11,spp2,33
21,12,spp2,21
21,1,spp3,0
21,2,spp3,0
21,3,spp3,1
21,4,spp3,0
21,5,spp3,1
21,6,spp3,0
21,7,spp3,3
21,8,spp3,0
21,9,spp3,0
21,10,spp3,15
21,11,spp3,1
21,12,spp3,7
21,1,spp4,18
21,2,spp4,2
21,3,spp4,16
21,4,spp4,1
21,5,spp4,23
21,6,spp4,4
21,7,spp4,5
21,8,spp4,9
21,9,spp4,8
21,10,spp4,10
21,11,spp4,19
21,12,spp4,7
21,1,spp5,49
21,2,spp5,52
21,3,spp5,42
21,4,spp5,31
21,5,spp5,31
21,6,spp5,37
21,7,spp5,25
21,8,spp5,31
21,9,spp5,46
21,10,spp5,28
21,11,spp5,37
21,12,spp5,46
22,1,spp1,25
22,2,spp1,23
22,3,spp1,13
22,4,spp1,39
22,5,spp1,14
22,6,spp1,25
22,7,spp1,43
22,8,spp1,39
22,9,spp1,19
22,10,spp1,18
22,11,spp1,18
22,12,spp1,24
22,1,spp2,10
22,2,spp2,27
22,3,spp2,22
22,4,spp2,31
22,5,spp2,28
22,6,spp2,30
22,7,spp2,25
22,8,spp2,23
22,9,spp2,31
22,10,spp2,22
22,11,spp2,37
22,12,spp2,17
22,1,spp3,0
22,2,spp3,0
22,3,spp3,0
22,4,spp3,0
22,5,spp3,2
22,6,spp3,0
22,7,spp3,2
22,8,spp3,0
